code,name,description
499,Client Closed Request,Le client a fermé la connexion avant de recevoir la réponse. Cette erreur se produit quand le traitement est trop long côté serveur[22].
500,Internal Server Error,Erreur interne du serveur.
501,Not Implemented,Fonctionnalité (par exemple méthode HTTP) non supportée.
502,Bad Gateway ou Proxy Error,"En agissant en tant que serveur proxy ou passerelle, le serveur a reçu une réponse invalide du serveur distant."
503,Service Unavailable,Service temporairement indisponible ou en maintenance.
504,Gateway Time-out,Temps d'attente écoulé d'une réponse d'un serveur à un serveur intermédiaire.
505,HTTP Version not supported,Version HTTP non gérée par le serveur.
506,Variant Also Negotiates,Erreur de négociation. Transparent content negociation.
507,Insufficient storage,Espace insuffisant pour modifier les propriétés ou construire la collection.
508,Loop detected,Boucle dans une mise en relation de ressources (RFC 5842[24]).
509,Bandwidth Limit Exceeded,Utilisé par de nombreux serveurs pour indiquer un dépassement de quota.
510,Not extended,La requête ne respecte pas la politique d'accès aux ressources HTTP étendues.
511,Network authentication required,Le client doit s'authentifier pour accéder au réseau. Utilisé par les portails captifs pour rediriger les clients vers la page d'authentification.
520,Unknown Error,Réponse générique lorsque le serveur d'origine retourne un résultat imprévu.
521,Web Server Is Down,Le serveur a refusé la connexion depuis Cloudflare.
522,Connection Timed Out,Cloudflare n'a pas eu de retour avec le serveur d'origine dans les temps.
523,Origin Is Unreachable,Cloudflare n'a pas réussi à joindre le serveur d'origine. Cela peut se produire en cas d'échec de résolution de nom de serveur DNS.
524,A Timeout Occurred,Cloudflare a établi une connexion TCP avec le serveur d'origine mais n'a pas reçu de réponse HTTP avant l'expiration du délai de connexion.
525,SSL Handshake Failed,Cloudflare n'a pas pu négocier un SSL/TLS handshake avec le serveur d'origine.
526,Invalid SSL Certificate,Cloudflare n'a pas pu valider le certificat SSL présenté par le serveur d'origine.
527,Railgun Error,La requête a dépassé le délai de connexion ou a échoué après que la connexion WAN a été établie.
